_id,date,user_count
2446,2023-10-17,16489
2447,2023-10-18,17276
2448,2023-10-19,14801
2449,2023-10-20,15089
2450,2023-10-21,14898
2451,2023-10-22,14734
2452,2023-10-23,16927
2453,2023-10-24,16980
2454,2023-10-25,16840
2455,2023-10-26,14609
2456,2023-10-27,13572
2457,2023-10-28,14119
2458,2023-10-29,15102
2459,2023-10-30,16849
2460,2023-10-31,15551
2461,2023-11-01,17329
2462,2023-11-02,14821
2463,2023-11-03,15321
2464,2023-11-04,14771
2465,2023-11-05,15375
2466,2023-11-06,17356
2467,2023-11-07,16962
2468,2023-11-08,15768
2469,2023-11-09,14554
2470,2023-11-10,16204
2471,2023-11-11,12542
2472,2023-11-12,14785
2473,2023-11-13,17316
2474,2023-11-14,16626
2475,2023-11-15,16848
2476,2023-11-16,15325
2477,2023-11-17,14773
2478,2023-11-18,14888
2479,2023-11-19,14847
2480,2023-11-20,16231
2481,2023-11-21,18348
2482,2023-11-22,15235
2483,2023-11-23,9560
2484,2023-11-24,14502
2485,2023-11-25,15047
2486,2023-11-26,15887
2487,2023-11-27,18031
2488,2023-11-28,17873
2489,2023-11-29,16127
2490,2023-11-30,15290
2491,2023-12-01,16306
2492,2023-12-02,14946
2493,2023-12-03,14651
2494,2023-12-04,17390
2495,2023-12-05,16695
2496,2023-12-06,16331
2497,2023-12-07,14401
2498,2023-12-08,15795
2499,2023-12-09,14751
2500,2023-12-10,14983
2501,2023-12-11,16169
